Price,Host_Response_Rate,Accommodates,Bathrooms,Bedrooms,Beds,Guests_Included,Review_Scores_Rating,Entire Home / Apt,Private Room,Shared Room,Property_Type)Apartment,Property_Type)Bed & Breakfast,Property_Type)Condominium,Property_Type)House,Property_Type)Loft,Property_Type)Other,Cancellation_Policy)flexible,Cancellation_Policy)moderate,Cancellation_Policy)strict,Cleaning Fee: No,Cleaning Fee: Yes
90,100,2,1,0,1,1,94,1,0,0,1,0,0,0,0,0,0,1,0,0,1
140,100,6,1,2,2,4,93,1,0,0,1,0,0,0,0,0,0,1,0,0,1
80,99,2,1,0,1,1,94,1,0,0,1,0,0,0,0,0,0,0,1,0,1
690,100,7,2,5,5,5,90,1,0,0,1,0,0,0,0,0,0,0,1,0,1
90,80,2,1,0,1,1,94,1,0,0,1,0,0,0,0,0,0,1,0,1,0
140,100,2,1,1,1,1,97,1,0,0,1,0,0,0,0,0,0,0,1,0,1
100,95,4,1,1,2,2,95,1,0,0,1,0,0,0,0,0,0,1,0,0,1
94,80,4,1,2,2,2,80,1,0,0,1,0,0,0,0,0,0,0,1,0,1
75,100,2,1,0,1,1,60,1,0,0,1,0,0,0,0,0,1,0,0,1,0
225,70,4,1,2,2,3,67,1,0,0,1,0,0,0,0,0,0,0,1,0,1
56,97,1,1,0,1,1,88,1,0,0,1,0,0,0,0,0,1,0,0,1,0
69,100,2,1,0,1,1,93,1,0,0,1,0,0,0,0,0,0,0,1,0,1
90,94,3,1,0,1,2,94,1,0,0,1,0,0,0,0,0,0,0,1,0,1
145,100,2,1,1,1,1,98,1,0,0,1,0,0,0,0,0,0,0,1,0,1
35,100,2,1,1,2,1,93,0,1,0,1,0,0,0,0,0,0,1,0,1,0
100,94,3,1,1,1,1,99,1,0,0,1,0,0,0,0,0,0,1,0,1,0
553,97,6,2,3,4,4,92,1,0,0,1,0,0,0,0,0,0,0,1,1,0
310,100,4,1,2,2,1,88,1,0,0,1,0,0,0,0,0,0,0,1,0,1
80,100,5,1,1,1,1,20,0,1,0,0,1,0,0,0,0,1,0,0,1,0
60,82,2,1,0,2,2,90,1,0,0,1,0,0,0,0,0,0,0,1,0,1
120,83,2,1,0,1,2,100,1,0,0,1,0,0,0,0,0,1,0,0,0,1
49,100,2,1,1,1,1,93,1,0,0,1,0,0,0,0,0,0,0,1,0,1
98,100,2,1,1,1,2,94,1,0,0,1,0,0,0,0,0,0,0,1,0,1
55,33,1,1,1,1,1,77,1,0,0,1,0,0,0,0,0,0,1,0,0,1
94,100,2,1,0,1,1,96,1,0,0,1,0,0,0,0,0,0,1,0,0,1
75,80,2,1,0,1,1,85,1,0,0,1,0,0,0,0,0,0,0,1,0,1
148,97,4,1,1,1,1,88,1,0,0,1,0,0,0,0,0,0,0,1,0,1
118,100,4,1.5,1,1,2,90,1,0,0,1,0,0,0,0,0,0,0,1,0,1
134,80,4,1,1,1,2,98,1,0,0,1,0,0,0,0,0,0,0,1,0,1
330,100,4,1,2,2,2,92,1,0,0,1,0,0,0,0,0,0,0,1,0,1
55,100,3,1,2,3,1,86,1,0,0,1,0,0,0,0,0,0,0,1,0,1
206,100,3,1,0,3,1,100,1,0,0,1,0,0,0,0,0,0,0,1,1,0
80,100,4,1,1,1,2,92,1,0,0,1,0,0,0,0,0,0,0,1,1,0
180,100,4,1,2,3,1,95,1,0,0,1,0,0,0,0,0,1,0,0,0,1
73,100,2,1,0,1,1,82,1,0,0,1,0,0,0,0,0,0,0,1,0,1
137,100,5,1.5,2,4,3,90,1,0,0,1,0,0,0,0,0,0,0,1,0,1
249,98,8,2,2,5,8,82,1,0,0,1,0,0,0,0,0,0,0,1,0,1
135,100,2,1,1,1,1,96,1,0,0,1,0,0,0,0,0,0,0,1,0,1
47,50,2,1,0,1,1,87,1,0,0,1,0,0,0,0,0,0,0,1,1,0
55,100,2,1,0,1,1,96,1,0,0,1,0,0,0,0,0,1,0,0,0,1
75,100,2,1,1,1,1,100,1,0,0,1,0,0,0,0,0,1,0,0,0,1
38,75,2,1,1,2,1,88,1,0,0,1,0,0,0,0,0,0,1,0,0,1
80,100,5,1,1,3,1,85,1,0,0,1,0,0,0,0,0,0,1,0,0,1
40,50,4,1,1,2,1,100,1,0,0,1,0,0,0,0,0,1,0,0,1,0
40,88,2,1,1,1,1,100,0,1,0,1,0,0,0,0,0,1,0,0,0,1
30,93,1,1,0,1,1,92,1,0,0,1,0,0,0,0,0,0,0,1,1,0
60,100,2,1,1,1,1,96,0,1,0,1,0,0,0,0,0,0,1,0,0,1
70,100,2,1,1,1,2,90,1,0,0,1,0,0,0,0,0,0,0,1,1,0
80,67,4,1,1,1,1,100,1,0,0,1,0,0,0,0,0,1,0,0,1,0
60,0,2,1,1,1,2,91,1,0,0,1,0,0,0,0,0,0,1,0,0,1
170,100,8,1,3,3,5,90,1,0,0,1,0,0,0,0,0,0,1,0,0,1
130,100,2,1,1,1,1,90,1,0,0,1,0,0,0,0,0,1,0,0,0,1
105,100,3,1,1,2,1,97,1,0,0,1,0,0,0,0,0,0,0,1,0,1
40,90,2,1,1,1,1,98,0,0,1,1,0,0,0,0,0,0,1,0,0,1
62,100,4,1,1,2,2,93,1,0,0,1,0,0,0,0,0,0,0,1,0,1
86,100,4,1,1,2,2,97,1,0,0,1,0,0,0,0,0,0,1,0,0,1
45,100,4,1,0,2,1,95,1,0,0,1,0,0,0,0,0,0,1,0,0,1
79,89,5,1,2,5,4,93,1,0,0,1,0,0,0,0,0,0,0,1,0,1
30,100,2,1,1,1,1,87,0,1,0,1,0,0,0,0,0,1,0,0,0,1
60,100,2,1,2,1,1,100,1,0,0,1,0,0,0,0,0,1,0,0,1,0
30,0,1,1,1,1,1,100,0,1,0,1,0,0,0,0,0,1,0,0,0,1
59,100,4,1,2,2,2,100,1,0,0,1,0,0,0,0,0,1,0,0,1,0
90,100,6,2,2,3,4,65,1,0,0,0,0,0,0,1,0,0,0,1,1,0
60,100,4,1,0,2,2,93,1,0,0,1,0,0,0,0,0,0,1,0,0,1
50,88,3,1,1,2,1,91,1,0,0,1,0,0,0,0,0,0,0,1,0,1
25,100,2,1,1,1,1,80,0,1,0,1,0,0,0,0,0,1,0,0,1,0
90,100,4,1,2,3,2,93,1,0,0,0,0,0,1,0,0,0,0,1,0,1
47,100,2,1,0,1,1,91,1,0,0,1,0,0,0,0,0,0,1,0,0,1
45,83,4,1,1,2,2,94,1,0,0,1,0,0,0,0,0,0,1,0,0,1
120,95,4,1,1,2,1,90,1,0,0,1,0,0,0,0,0,0,1,0,0,1
85,100,2,1,1,1,1,100,1,0,0,1,0,0,0,0,0,0,0,1,0,1
70,100,4,1,3,2,2,100,1,0,0,1,0,0,0,0,0,0,0,1,0,1
50,100,3,1,0,2,2,94,1,0,0,1,0,0,0,0,0,0,1,0,0,1
90,100,2,1,1,1,1,95,1,0,0,1,0,0,0,0,0,1,0,0,0,1
105,100,3,1,1,2,1,100,1,0,0,1,0,0,0,0,0,1,0,0,0,1
100,100,4,1,2,2,1,100,1,0,0,1,0,0,0,0,0,0,0,1,0,1
99,100,5,1,1,3,1,98,1,0,0,1,0,0,0,0,0,0,1,0,0,1
30,0,2,1,1,1,1,89,0,1,0,1,0,0,0,0,0,0,1,0,1,0
100,100,2,1,1,1,1,100,1,0,0,1,0,0,0,0,0,0,1,0,0,1
70,100,2,1,1,1,1,100,1,0,0,1,0,0,0,0,0,0,1,0,0,1
35,60,4,1,1,1,2,84,1,0,0,1,0,0,0,0,0,0,1,0,0,1
60,100,2,1,1,1,1,94,1,0,0,1,0,0,0,0,0,0,0,1,0,1
54,100,2,1,1,1,1,96,1,0,0,1,0,0,0,0,0,0,0,1,0,1
45,100,2,1,1,1,1,78,1,0,0,1,0,0,0,0,0,0,0,1,0,1
42,100,3,1,1,2,2,87,1,0,0,1,0,0,0,0,0,0,0,1,0,1
35,100,2,1,1,1,2,100,0,1,0,1,0,0,0,0,0,1,0,0,1,0
80,86,3,1,1,2,2,84,1,0,0,1,0,0,0,0,0,1,0,0,0,1
53,100,2,1,1,1,1,90,0,1,0,0,0,0,1,0,0,0,0,1,1,0
100,80,5,2,2,3,1,87,1,0,0,1,0,0,0,0,0,1,0,0,1,0
90,100,6,1.5,3,5,4,98,1,0,0,1,0,0,0,0,0,0,0,1,0,1
72,100,4,1,1,2,2,93,1,0,0,1,0,0,0,0,0,0,0,1,0,1
40,83,2,1,0,1,1,100,1,0,0,1,0,0,0,0,0,0,0,1,0,1
19,100,2,2,1,2,1,84,0,1,0,1,0,0,0,0,0,0,0,1,0,1
45,100,2,1,0,1,1,100,1,0,0,1,0,0,0,0,0,1,0,0,1,0
49,100,2,1,0,1,1,79,1,0,0,1,0,0,0,0,0,0,1,0,0,1
100,100,4,1.5,2,2,2,100,1,0,0,1,0,0,0,0,0,0,0,1,0,1
45,100,4,1,1,2,1,97,1,0,0,1,0,0,0,0,0,0,1,0,0,1
169,90,4,1,1,2,1,80,1,0,0,1,0,0,0,0,0,0,0,1,0,1
35,100,2,1.5,0,1,1,80,1,0,0,1,0,0,0,0,0,0,0,1,1,0
205,73,4,1,2,2,1,100,1,0,0,1,0,0,0,0,0,1,0,0,0,1
50,100,2,0.5,0,1,1,100,1,0,0,1,0,0,0,0,0,0,0,1,0,1
159,100,4,1,1,2,2,86,1,0,0,1,0,0,0,0,0,0,0,1,0,1
500,100,4,1,2,2,1,90,1,0,0,0,0,0,0,1,0,0,0,1,0,1
55,100,2,1,1,1,1,97,0,1,0,1,0,0,0,0,0,1,0,0,0,1
90,100,4,1,1,2,2,86,1,0,0,1,0,0,0,0,0,0,0,1,0,1
98,100,2,1,1,1,1,100,1,0,0,1,0,0,0,0,0,1,0,0,0,1
300,100,6,2,3,5,6,97,1,0,0,1,0,0,0,0,0,0,0,1,0,1
55,100,2,1.5,1,2,1,85,1,0,0,1,0,0,0,0,0,1,0,0,0,1
89,100,4,1,1,2,2,100,1,0,0,1,0,0,0,0,0,0,0,1,0,1
25,100,2,1,1,1,1,97,0,0,1,1,0,0,0,0,0,0,1,0,1,0
72,90,2,1,1,1,1,88,0,1,0,0,0,0,0,0,0,0,0,1,0,1
85,100,2,1,0,1,1,97,1,0,0,1,0,0,0,0,0,0,0,1,0,1
74,100,2,1,1,1,1,99,0,1,0,0,1,0,0,0,0,0,0,1,0,1
120,100,4,1,1,2,1,91,1,0,0,1,0,0,0,0,0,0,0,1,0,1
125,50,2,1,1,1,1,100,1,0,0,1,0,0,0,0,0,0,1,0,1,0
120,100,2,1,1,1,2,95,1,0,0,1,0,0,0,0,0,1,0,0,1,0
106,90,2,1,1,1,1,98,1,0,0,1,0,0,0,0,0,0,0,1,0,1
59,100,4,1,1,2,2,98,1,0,0,1,0,0,0,0,0,0,1,0,0,1
50,100,2,1,1,1,1,99,0,1,0,1,0,0,0,0,0,0,0,1,1,0
70,100,4,2,2,2,1,80,1,0,0,0,0,0,1,0,0,1,0,0,1,0
63,100,4,1,2,3,1,92,1,0,0,1,0,0,0,0,0,0,0,1,0,1
55,95,4,1,1,2,2,90,1,0,0,1,0,0,0,0,0,0,1,0,0,1
40,100,3,1,1,2,1,88,0,1,0,1,0,0,0,0,0,1,0,0,1,0
29,100,3,1,1,2,1,80,0,1,0,1,0,0,0,0,0,1,0,0,1,0
69,75,3,1,2,2,1,92,1,0,0,1,0,0,0,0,0,0,0,1,0,1
83,100,2,1,0,1,1,94,1,0,0,1,0,0,0,0,0,0,0,1,1,0
50,100,4,1.5,1,2,1,100,1,0,0,1,0,0,0,0,0,1,0,0,1,0
70,100,4,1,1,2,2,87,1,0,0,1,0,0,0,0,0,0,0,1,0,1
100,100,4,1,2,2,1,90,1,0,0,1,0,0,0,0,0,1,0,0,0,1
55,90,4,1,1,2,2,96,1,0,0,1,0,0,0,0,0,0,1,0,0,1
78,80,4,1,2,3,4,100,1,0,0,1,0,0,0,0,0,0,1,0,0,1
65,100,4,1,1,2,1,93,1,0,0,1,0,0,0,0,0,0,1,0,0,1
57,100,2,1,0,1,1,90,1,0,0,1,0,0,0,0,0,1,0,0,1,0
50,100,2,1,1,1,1,100,0,1,0,1,0,0,0,0,0,1,0,0,0,1
30,100,1,1,1,1,1,96,0,1,0,1,0,0,0,0,0,0,0,1,1,0
27,100,1,1.5,1,1,1,100,0,1,0,0,0,0,1,0,0,0,0,1,1,0
31,100,2,1,0,1,1,96,1,0,0,1,0,0,0,0,0,0,1,0,0,1
50,100,2,1,1,1,1,100,0,1,0,1,0,0,0,0,0,1,0,0,0,1
20,100,2,1,1,1,1,80,0,0,1,1,0,0,0,0,0,1,0,0,1,0
50,60,2,1,0,1,1,87,1,0,0,1,0,0,0,0,0,0,1,0,0,1
40,100,4,1,1,1,2,100,1,0,0,1,0,0,0,0,0,0,1,0,1,0
179,93,4,1,1,2,1,89,1,0,0,1,0,0,0,0,0,1,0,0,0,1
60,100,2,1,0,1,1,40,1,0,0,1,0,0,0,0,0,0,0,1,0,1
75,100,2,1,1,1,1,100,0,1,0,1,0,0,0,0,0,1,0,0,0,1
92,100,4,1,0,1,2,84,1,0,0,1,0,0,0,0,0,0,0,1,0,1
60,98,2,1,0,1,1,100,1,0,0,1,0,0,0,0,0,0,0,1,0,1
150,68,6,1,2,2,5,83,1,0,0,1,0,0,0,0,0,0,0,1,0,1
47,94,2,1,1,1,1,83,1,0,0,1,0,0,0,0,0,0,0,1,0,1
85,100,2,1,0,1,1,97,1,0,0,1,0,0,0,0,0,0,0,1,0,1
50,100,3,1,0,2,1,83,1,0,0,1,0,0,0,0,0,1,0,0,0,1
70,88,3,1,0,2,1,88,1,0,0,1,0,0,0,0,0,0,1,0,0,1
69,80,2,1,1,1,1,93,1,0,0,1,0,0,0,0,0,0,0,1,0,1
69,100,2,1,0,1,1,95,1,0,0,1,0,0,0,0,0,0,0,1,0,1
110,100,5,1,1,3,1,88,1,0,0,1,0,0,0,0,0,1,0,0,1,0
40,100,2,1,1,1,1,73,1,0,0,1,0,0,0,0,0,1,0,0,0,1
56,50,3,1,1,1,2,80,1,0,0,1,0,0,0,0,0,0,1,0,0,1
40,100,2,1,1,1,1,100,1,0,0,1,0,0,0,0,0,1,0,0,0,1
60,86,2,1,0,1,1,93,1,0,0,1,0,0,0,0,0,0,1,0,0,1
170,100,5,1,1,3,1,86,1,0,0,1,0,0,0,0,0,0,0,1,1,0
48,90,1,1,0,1,1,94,1,0,0,1,0,0,0,0,0,0,0,1,0,1
100,100,4,1,1,1,2,80,1,0,0,1,0,0,0,0,0,0,1,0,1,0
45,100,3,1,1,3,1,97,1,0,0,1,0,0,0,0,0,0,0,1,0,1
60,100,2,1.5,0,2,1,97,1,0,0,1,0,0,0,0,0,1,0,0,0,1
60,92,3,1,0,2,2,90,1,0,0,1,0,0,0,0,0,0,0,1,0,1
38,100,1,1,1,1,1,94,1,0,0,1,0,0,0,0,0,0,0,1,1,0
80,100,3,1,1,2,2,93,1,0,0,1,0,0,0,0,0,0,1,0,0,1
39,75,2,1,1,2,1,92,1,0,0,1,0,0,0,0,0,1,0,0,1,0
50,100,2,1,0,1,1,98,1,0,0,1,0,0,0,0,0,0,1,0,1,0
42,100,2,1,1,2,2,95,1,0,0,0,0,0,0,0,1,0,0,1,0,1
40,100,2,1,0,1,1,93,1,0,0,1,0,0,0,0,0,0,1,0,0,1
50,100,2,1,0,1,1,93,1,0,0,1,0,0,0,0,0,0,0,1,0,1
37,0,2,1,1,1,1,100,0,1,0,1,0,0,0,0,0,1,0,0,1,0
21,100,1,1,1,1,1,89,0,0,1,1,0,0,0,0,0,0,0,1,0,1
50,100,2,1,1,1,1,80,1,0,0,1,0,0,0,0,0,1,0,0,0,1
20,83,1,1,1,1,1,80,0,1,0,1,0,0,0,0,0,1,0,0,1,0
150,100,4,1,1,2,1,100,1,0,0,1,0,0,0,0,0,0,1,0,0,1
90,100,4,1,1,1,2,98,1,0,0,1,0,0,0,0,0,0,0,1,0,1
30,100,2,6,1,2,1,79,0,1,0,0,0,0,1,0,0,0,0,1,0,1
280,100,8,2,4,5,1,94,1,0,0,1,0,0,0,0,0,0,0,1,1,0
90,100,4,2,2,3,4,97,1,0,0,1,0,0,0,0,0,0,1,0,0,1
70,100,4,1,1,2,1,100,1,0,0,1,0,0,0,0,0,1,0,0,0,1
40,100,3,1,0,1,1,95,1,0,0,1,0,0,0,0,0,1,0,0,0,1
99,100,3,1,1,2,2,93,1,0,0,1,0,0,0,0,0,0,1,0,0,1
61,100,2,1.5,1,1,1,100,1,0,0,1,0,0,0,0,0,0,1,0,1,0
160,100,3,1.5,2,2,2,98,1,0,0,1,0,0,0,0,0,0,0,1,0,1
90,100,2,1.5,1,1,1,90,0,1,0,1,0,0,0,0,0,0,0,1,0,1
209,100,4,1,2,2,1,96,1,0,0,1,0,0,0,0,0,0,1,0,0,1
35,100,1,1,1,1,1,92,0,1,0,0,0,0,0,0,0,0,1,0,1,0
199,100,4,2,2,2,1,95,1,0,0,1,0,0,0,0,0,0,0,1,1,0
33,10,1,1,1,1,1,90,0,1,0,1,0,0,0,0,0,0,1,0,0,1
55,100,2,1,0,1,1,87,1,0,0,1,0,0,0,0,0,1,0,0,0,1
53,100,2,1,0,1,1,89,1,0,0,1,0,0,0,0,0,0,0,1,1,0
42,100,2,1,0,1,2,90,1,0,0,1,0,0,0,0,0,0,0,1,0,1
110,100,2,1,1,1,1,100,1,0,0,1,0,0,0,0,0,0,0,1,0,1
220,100,6,1,3,3,1,100,1,0,0,1,0,0,0,0,0,1,0,0,0,1
89,100,4,1,1,2,2,60,1,0,0,1,0,0,0,0,0,0,0,1,0,1
350,79,10,5.5,5,6,1,100,1,0,0,1,0,0,0,0,0,0,1,0,0,1
120,96,4,1,1,2,2,100,1,0,0,1,0,0,0,0,0,0,0,1,0,1
135,93,5,1,2,2,2,95,1,0,0,1,0,0,0,0,0,0,1,0,1,0
90,80,4,1,1,1,2,88,1,0,0,1,0,0,0,0,0,0,1,0,1,0
75,100,2,1,1,1,1,94,1,0,0,1,0,0,0,0,0,0,1,0,0,1
70,100,2,1,1,2,1,90,1,0,0,1,0,0,0,0,0,0,0,1,1,0
72,100,4,1,1,2,2,93,1,0,0,1,0,0,0,0,0,0,1,0,0,1
99,100,3,1,1,1,2,92,1,0,0,1,0,0,0,0,0,0,0,1,0,1
229,97,4,1,2,2,1,80,1,0,0,1,0,0,0,0,0,0,0,1,1,0
55,100,2,1,1,1,1,100,1,0,0,1,0,0,0,0,0,1,0,0,0,1
70,90,3,1,0,2,1,93,1,0,0,1,0,0,0,0,0,0,0,1,0,1
360,0,7,1.5,3,4,1,93,1,0,0,1,0,0,0,0,0,0,0,1,1,0
80,80,2,1,1,1,1,96,1,0,0,1,0,0,0,0,0,0,0,1,0,1
68,94,2,1,1,1,1,83,1,0,0,1,0,0,0,0,0,0,0,1,0,1
75,100,3,1,2,2,3,100,1,0,0,1,0,0,0,0,0,0,0,1,0,1
